section,section_title,lecture,title,type,seconds,pass,objectives
1,Introduction,1,Introduction,Video,166,SKIP,
1,Introduction,2,Welcome to Udemy,Article,37,SKIP,
1,Introduction,3,How to get the best out of your Udemy course,Video,185,SKIP,
1,Introduction,4,Do you want auto-translated subtitles in more languages?,Article,80,SKIP,
1,Introduction,5,Curriculum,Video,359,SKIP,
1,Introduction,6,Resources,Article,7,SKIP,
2,Creating Copilot Studio classic orchestrated single-agent,7,Signing into Microsoft Copilot Studio,Video,230,SKIP,
2,Creating Copilot Studio classic orchestrated single-agent,8,"Why do I need a Work email address? And how can I get one, if I don't have it?",Video,747,SKIP,
2,Creating Copilot Studio classic orchestrated single-agent,9,"1, 7. What are agents, and looking at Copilot Studio prebuilt agents",Video,462,LISTEN,AB100-1.1.1 AB100-1.2.4
2,Creating Copilot Studio classic orchestrated single-agent,10,Creating a new environment and solution,Video,608,WATCH,
2,Creating Copilot Studio classic orchestrated single-agent,11,"5, 35. Design the strategy for building AI and agents, creating a blank agent",Video,291,LISTEN,AB100-1.2.2 AB100-2.1.15
2,Creating Copilot Studio classic orchestrated single-agent,12,"25, 30, 35. Adding Key Phrases to a trigger and Sending a message to the user",Video,557,SKIP,AB100-2.1.5 AB100-2.1.10 AB100-2.1.15
2,Creating Copilot Studio classic orchestrated single-agent,13,"25, 30, 35. Asking a question, using a variable, and adding a condition",Video,597,SKIP,AB100-2.1.5 AB100-2.1.10 AB100-2.1.15
2,Creating Copilot Studio classic orchestrated single-agent,14,"25, 30, 35. Other topic nodes",Video,271,SKIP,AB100-2.1.5 AB100-2.1.10 AB100-2.1.15
2,Creating Copilot Studio classic orchestrated single-agent,15,"30. Design topics for Copilot Studio, including fallback",Video,520,WATCH,AB100-2.1.10
2,Creating Copilot Studio classic orchestrated single-agent,16,Practice Activity 1,Article,58,SKIP,
2,Creating Copilot Studio classic orchestrated single-agent,17,Practice Activity 1 - The Solution,Video,534,SKIP,
3,Creating Copilot generative AI single-agents,18,27. Design prompt and response agents,Video,585,LISTEN,AB100-2.1.7
3,Creating Copilot generative AI single-agents,19,"8, 27. Define the solution rules and constraints using instructions",Video,543,LISTEN,AB100-1.2.5 AB100-2.1.7
3,Creating Copilot generative AI single-agents,20,71. Review solution for adherence to responsible AI principles,Video,196,LISTEN,AB100-3.4.5
3,Creating Copilot generative AI single-agents,21,"9, 73a. Using generative AI and knowledge sources in Copilot Studio agents",Video,552,LISTEN,AB100-1.2.6 AB100-3.4.7
3,Creating Copilot generative AI single-agents,22,"35, 42. Publishing and Design agent behaviors in Copilot Studio",Video,413,WATCH,AB100-2.1.15 AB100-2.2.6
3,Creating Copilot generative AI single-agents,23,Practice Activity 2,Article,29,SKIP,
3,Creating Copilot generative AI single-agents,24,Practice Activity 2 - The Solution,Video,277,SKIP,
4,"Grounding, Data and AI model integration",25,"31, 61. Design data processing for AI models and grounding",Video,347,LISTEN,AB100-2.1.11 AB100-3.3.1
4,"Grounding, Data and AI model integration",26,"2, 3. Review data for grounding and organizing business solution data",Video,565,LISTEN,AB100-1.1.2 AB100-1.1.3
4,"Grounding, Data and AI model integration",27,72a. Validate data residency and movement compliance,Video,290,LISTEN,AB100-3.4.6
4,"Grounding, Data and AI model integration",28,"11b, 35. Using different AI models in Copilot Studio",Video,483,LISTEN,AB100-1.2.8 AB100-2.1.15
5,Creating autonomous agents with tools,29,26. Design autonomous agents: what are triggers?,Video,475,LISTEN,AB100-2.1.6
5,Creating autonomous agents with tools,30,"26. Adding a trigger to our agent to make it autonomous, and then testing it",Video,391,WATCH,AB100-2.1.6
5,Creating autonomous agents with tools,31,35. Adding a tool which sends emails to our autonomous agent,Video,584,WATCH,AB100-2.1.15
5,Creating autonomous agents with tools,32,Practice Activity 3,Article,29,SKIP,
5,Creating autonomous agents with tools,33,Practice Activity 3 - The Solution,Video,595,SKIP,
6,Adding custom prompts to our Copilot Studio agent,34,"11b, 36. Creating a custom prompt and investigating prompt actions",Video,527,WATCH,AB100-1.2.8 AB100-2.1.16
6,Adding custom prompts to our Copilot Studio agent,35,"35, 36. Implementing custom prompt into our agent",Video,275,SKIP,AB100-2.1.15 AB100-2.1.16
